"Var1","Freq"
"[1e+04,1.35e+04)",4985
"[1.35e+04,1.83e+04)",4225
"[1.83e+04,2.48e+04)",3807
"[2.48e+04,3.36e+04)",3162
"[3.36e+04,4.54e+04)",2639
"[4.54e+04,6.15e+04)",2066
"[6.15e+04,8.32e+04)",1680
"[8.32e+04,1.13e+05)",1247
"[1.13e+05,1.52e+05)",1004
"[1.52e+05,2.06e+05)",775
"[2.06e+05,2.79e+05)",581
"[2.79e+05,3.78e+05)",468
"[3.78e+05,5.11e+05)",357
"[5.11e+05,6.92e+05)",314
"[6.92e+05,9.36e+05)",211
"[9.36e+05,1.27e+06)",193
"[1.27e+06,1.72e+06)",121
"[1.72e+06,2.32e+06)",89
"[2.32e+06,3.14e+06)",95
"[3.14e+06,4.25e+06)",55
"[4.25e+06,5.75e+06)",78
"[5.75e+06,7.79e+06)",46
"[7.79e+06,1.05e+07)",24
"[1.05e+07,1.43e+07)",14
"[1.43e+07,1.93e+07)",12
"[1.93e+07,2.61e+07)",9
"[2.61e+07,3.54e+07]",2
